Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
ven. 18 mars 2022 - 07:34;Aller boulot;5,23;15m 04s;904;20,83;33,33;30,51;29,03;23,11;;;;;;;;;;;2,80;2,36;1,76;0,46;;
jeu. 17 mars 2022 - 19:01;Retour boulot;4,06;19m 53s;1193;12,25;25,00;22,78;20,69;;;;;;;;;;;;5,12;4,04;2,96;;;
jeu. 17 mars 2022 - 18:03;Retour boulot;1,41;05m 37s;337;15,07;28,13;24,00;19,46;;;;;;;;;;;;6,08;2,72;2,26;;;
jeu. 17 mars 2022 - 07:28;Aller boulot;6,68;19m 43s;1183;20,34;31,03;30,00;29,03;25,64;;;;;;;;;;;3,84;2,48;2,04;0,50;;
mer. 16 mars 2022 - 18:06;Retour boulot;5,27;15m 59s;959;19,78;28,13;26,87;25,71;20,86;;;;;;;;;;;3,68;1,76;1,42;0,05;;
mer. 16 mars 2022 - 08:01;Aller boulot;5,23;13m 35s;815;23,09;32,14;30,51;28,35;24,29;;;;;;;;;;;2,16;1,64;1,16;0,04;;
mar. 15 mars 2022 - 17:32;Retour boulot;5,26;14m 12s;852;22,24;33,33;31,58;30,77;23,81;;;;;;;;;;;3,28;2,44;1,78;0,39;;
mar. 15 mars 2022 - 07:40;Aller boulot;6,17;17m 52s;1072;20,71;34,62;32,73;29,75;22,73;;;;;;;;;;;5,04;3,48;1,32;0,08;;
lun. 14 mars 2022 - 18:00;Retour boulot;5,30;15m 39s;939;20,33;30,00;29,51;29,03;21,61;;;;;;;;;;;3,20;2,64;2,30;0,62;;
lun. 14 mars 2022 - 07:48;Aller boulot;5,27;16m 31s;991;19,14;29,03;28,13;25,17;21,30;;;;;;;;;;;2,96;2,24;1,62;0,30;;
sam. 12 mars 2022 - 14:24;Sortie à vélo l'après-midi;52,83;03h 48m 09s;13689;13,89;37,50;33,33;32,14;25,53;23,76;18,64;13,75;;22,15;19,11;15,57;13,68;;;11,04;7,64;3,86;1,13;0,55;0,25
jeu. 10 mars 2022 - 17:56;Retour boulot;5,46;25m 49s;1549;12,70;29,03;26,47;20,34;13,33;;;;;;;;;;;3,68;2,68;1,96;0,74;;
jeu. 10 mars 2022 - 07:30;Aller boulot boulot;5,25;15m 27s;927;20,39;27,27;26,09;24,00;21,77;;;;;;;;;;;2,80;1,88;1,48;0,30;;
mer. 09 mars 2022 - 17:52;Retour boulot;5,33;13m 51s;831;23,10;33,33;31,58;31,03;24,59;;;;;;;;;;;3,04;2,08;1,52;0,08;;
mer. 09 mars 2022 - 07:31;Aller boulot;5,18;17m 00s;1020;18,29;25,71;25,00;23,84;21,84;;;;;;;;;;;4,56;2,36;1,96;0,63;;
mar. 08 mars 2022 - 17:58;Retour boulot;5,45;27m 55s;1675;11,72;32,14;30,00;28,35;23,38;;;;;;;;;;;2,80;2,20;1,88;;;
mar. 08 mars 2022 - 07:33;Aller boulot;5,26;15m 28s;928;20,40;28,13;26,87;25,00;21,95;;;;;;;;;;;3,04;2,52;2,08;0,29;;
lun. 07 mars 2022 - 17:45;Retour boulot;5,36;17m 50s;1070;18,04;26,47;26,09;25,00;20,74;;;;;;;;;;;4,32;3,56;2,66;0,80;;
lun. 07 mars 2022 - 07:41;Retour boulot;5,26;15m 04s;904;20,93;26,47;25,35;23,68;22,06;;;;;;;;;;;4,64;2,40;1,90;0,60;;
sam. 05 mars 2022 - 14:01;Sortie à vélo l'après-midi;40,98;03h 00m 15s;10815;13,64;50,00;45,00;33,33;18,67;16,07;13,94;;;17,03;14,75;13,82;13,66;;;10,80;7,52;4,30;1,08;0,44;0,22
ven. 04 mars 2022 - 15:50;Sortie à vélo l'après-midi;12,34;01h 22m 50s;4970;8,94;31,03;29,03;26,47;22,93;8,08;;;;5,68;5,68;;;;;4,96;2,80;2,70;1,06;0,09;
ven. 04 mars 2022 - 13:58;Sortie à vélo l'après-midi;5,53;27m 09s;1629;12,23;28,13;27,27;25,53;12,30;;;;;;;;;;;10,80;5,88;2,14;0,12;;
ven. 04 mars 2022 - 12:20;Sortie à vélo le midi;2,52;09m 24s;564;16,06;28,13;24,32;21,56;;;;;;;;;;;;7,92;7,48;4,56;;;
ven. 04 mars 2022 - 09:55;Vélo du matin;6,34;17m 58s;1078;21,16;29,03;28,13;24,16;22,39;;;;;;;;;;;3,20;2,48;1,56;0,46;;
jeu. 03 mars 2022 - 18:17;Retour boulot;5,30;18m 21s;1101;17,33;33,33;30,51;27,07;19,40;;;;;;;;;;;6,00;2,04;1,60;;;
jeu. 03 mars 2022 - 07:42;Aller boulot;5,25;17m 11s;1031;18,34;25,71;23,68;21,95;19,57;;;;;;;;;;;2,64;2,12;1,52;0,18;;
