Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
lun. 27 juin 2022 - 17:53;Retour boulot;5,86;25m 17s;1517;13,90;28,13;25,71;23,23;15,50;;;;;;;;;;;9,92;6,20;1,14;0,46;;
lun. 27 juin 2022 - 08:03;Aller boulot;5,24;15m 11s;911;20,71;29,03;27,27;26,09;22,06;;;;;;;;;;;3,28;1,88;1,10;0,17;;
dim. 26 juin 2022 - 09:43;Sortie VTT le matin;30,11;01h 31m 53s;5513;19,66;50,00;43,90;35,64;26,01;22,54;18,96;;;22,84;19,10;;;;;8,08;5,64;3,48;0,95;0,56;0,19
ven. 24 juin 2022 - 17:52;Retour boulot;5,36;17m 07s;1027;18,78;33,33;32,14;30,77;24,19;;;;;;;;;;;2,24;1,76;1,22;0,18;;
ven. 24 juin 2022 - 08:18;Aller boulot;6,71;23m 00s;1380;17,51;32,14;30,00;28,13;24,26;;;;;;;;;;;5,20;2,84;1,56;0,32;;
jeu. 23 juin 2022 - 17:33;Retour boulot;6,87;01h 10m 44s;4244;5,83;31,03;30,51;29,03;5,49;;;;;2,25;5,56;;;;;11,20;5,44;2,82;0,24;;
jeu. 23 juin 2022 - 12:08;Sortie vélo le midi;4,49;01h 48m 10s;6490;2,49;29,03;27,69;26,47;;;;;;1,34;1,34;;;;;6,24;4,80;2,68;;;
jeu. 23 juin 2022 - 07:55;Aller boulot;6,71;23m 33s;1413;17,09;27,27;25,35;22,36;19,76;;;;;;;;;;;3,28;1,68;1,06;0,18;;
mer. 22 juin 2022 - 17:56;Retour boulot;5,64;17m 50s;1070;18,96;27,27;26,47;25,90;20,18;;;;;;;;;;;4,40;3,04;1,74;;;
mer. 22 juin 2022 - 08:06;Aller boulot;5,25;16m 09s;969;19,50;28,13;26,87;24,83;20,50;;;;;;;;;;;2,64;1,68;1,10;0,00;;
lun. 13 juin 2022 - 17:58;Retour boulot;5,34;20m 17s;1217;15,78;22,50;20,93;20,00;16,47;;;;;;;;;;;3,20;2,32;1,96;0,57;;
lun. 13 juin 2022 - 14:39;Aller retour dentiste;11,98;46m 13s;2773;15,55;31,03;30,00;27,69;24,26;14,98;;;;12,90;;;;;;11,20;6,28;2,70;0,95;0,14;
lun. 13 juin 2022 - 07:33;Aller boulot;5,26;15m 16s;916;20,66;27,27;25,71;23,53;21,48;;;;;;;;;;;2,88;1,60;1,26;0,21;;
dim. 12 juin 2022 - 08:45;Randonnée VTT de Liffré avec Cédric et Léo;55,73;04h 02m 22s;14542;13,80;45,00;36,73;33,96;26,47;24,21;15,05;13,46;;20,79;16,03;14,60;13,93;13,88;;11,84;7,12;4,80;1,00;0,49;0,31
